brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Total Stock
Dell,Latitude 3520 Laptop,15.6 Inches,Black,2000 GB,Core i7,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,883.99 ",15,28259.85,195
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $999.99 ,33,32999.67,456
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $999.99 ,45,44999.55,510
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,829.00 ",57,104253,319
Dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $1,666.40 ",60,99984,144
Lenovo,IdeaPad 3 81X8,15.6 Inches,Almond,2 TB,Core i3 Family,8 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,, $660.99 ,51,33710.49,316
Dell,Latitude 3420 Laptop,14 Inches,Black,1000 GB,Core i7,64 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $2,899.00 ",14,40586,269
Dell,XPS 9320 Laptop,13.4 Inches,"Gray, Silver",256 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,," $1,513.50 ",50,75675,469
Dell,Latitude 3520 Laptop,15.6 Inches,Black,2000 GB,Core i5,8 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $433.99 ,17,7377.83,446
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,128 GB,Core i5,8 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,661.99 ",14,23267.86,249
Dell,Latitude 5420 Laptop,14 Inches,Black,1000 GB,Core i5,32 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $2,461.99 ",31,76321.69,123
Dell,Alienware m15 R7 Laptop,15.6 Inches,Dark Side of the Moon,512 GB,AMD Ryzen 7,32 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3060,,,," $1,699.00 ",22,37378,164
Lenovo,Slim 7 82SX,14 Inches,Cloud Grey,1 TB,Core i7 Family,16 GB,Windows 10 Home,"HD Audio, Backlit Keyboard",Integrated,,,," $2,499.95 ",40,99998,534
Dell,XPS 9520 Laptop,15.6 Inches,Platinum Silver,128 GB,Core i7,4 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050,,,," $1,993.99 ",54,107675.46,372
Dell,Latitude 5520 Laptop,15.6 Inches,Black,1000 GB,Core i7,32 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $459.99 ,64,29439.36,420
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $614.40 ,34,20889.6,476
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $589.99 ,65,38349.35,192
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $2,619.99 ",62,162439.38,462
acer,Aspire 5,15.6 Inches,Pure Silver,2 TB,Core i3 Family,4 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Integrated,,,," $3,346.83 ",48,160647.84,334
LENOVO,Legion Pro 5,16 Inches,Onyx grey,4 TB,Intel Core i9,16 GB,Windows 11 Home,"High Definition Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,, $389.99 ,61,23789.39,549
Dell,Inspiron 16,16 Inches,Platinum Silver,1 TB,Core i7 Family,32 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Dedicated,,,, $389.99 ,46,17939.54,185
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $579.99 ,26,15079.74,396
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $773.99 ,65,50309.35,424
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $922.99 ,60,55379.4,386
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,256 GB,Core i5,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,690.99 ",27,45656.73,293
Dell,Precision 3470 Laptop,14 Inches,Silver,512 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia Quadro T550,,,," $1,599.00 ",49,78351,305
Dell,Latitude 5540 Laptop,15.6 Inches,Black,512 GB,Core i7,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,, $69.82 ,15,1047.3,371
Dell,Latitude 5520 Laptop,15.6 Inches,Black,2000 GB,Core i7,32 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $1,599.00 ",49,78351,448
Dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $389.99 ,27,10529.73,231
Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 GB,Core i5,32 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $999.99 ,36,35999.64,513
Dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Core i5,64 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $1,699.00 ",35,59465,529
Dell,Latitude 5420 Laptop,14 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $459.99 ,12,5519.88,93
Dell,Latitude 7340 2-in-1,13.3 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,, $900.89 ,22,19819.58,518
Dell,Precision 5770 Laptop,17 Inches,Silver,1000 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia RTX A2000,,,," $2,179.00 ",36,78444,152
Dell,Precision 7770 Laptop,17.3 Inches,Silver,512 GB,Core i7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia RTX A1000,,,," $1,599.00 ",61,97539,424
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $877.99 ,60,52679.4,543
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7," $2,296.99 ",47,107958.53,216
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,799.81 ",12,21597.72,113
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,2000 GB,Core i9,16 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,," $5,598.29 ",64,358290.56,378
Dell,Latitude 5340 Laptop,13.3 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,, $999.99 ,33,32999.67,200
Dell,Alienware X16 Laptop,16 Inches,Silver,1000 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,, $557.00 ,31,17267,174
Lenovo,Thinkpad P16v Gen 1,16 Inches,Black,1 TB,Intel Core i7,31.99 GB,Windows 11 Pro,"Anti Glare Coating,Backlit Keyboard, Fingerprint Reader",Dedicated,,,," $1,799.09 ",51,91753.59,281
Dell,Latitude 3420 Laptop,14 Inches,Black,512 GB,Core i3,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,, $639.99 ,24,15359.76,488
Dell,Latitude 9440 2-in-1,14 Inches,Black,256 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,, $389.99 ,22,8579.78,486
Dell,Alienware m18 Laptop,18 Inches,Dark Metallic Moon,2000 GB,Core i9,32 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,, $109.00 ,41,4469,239
Dell,Latitude 5520 Laptop,15.6 Inches,Black,2000 GB,Core i7,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $459.99 ,60,27599.4,305
Dell,Latitude 3520 Laptop,15.6 Inches,Black,8000 GB,Core i5,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,670.17 ",13,21712.21,176
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,512 GB,Core i5,64 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $2,899.99 ",61,176899.39,373
Dell,Vostro 3510 Laptop,15.6 Inches,Black,256 GB,Core i5,4 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $714.99 ,60,42899.4,396
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $389.99 ,41,15989.59,381
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,599.00 ",36,57564,521
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,614.99 ",59,95284.41,180
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $459.99 ,40,18399.6,196
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $3,271.99 ",15,49079.85,255
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $4,881.99 ",45,219689.55,536
Dell,Inspiron 3502 Laptop,15.6 Inches,Black,512 GB,Celeron,12 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $589.99 ,44,25959.56,295
Dell,Inspiron 3502 Laptop,15.6 Inches,Black,256 GB,Celeron,12 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $589.99 ,55,32449.45,508
Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i9,64 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,, $443.00 ,54,23922,489
Dell,Latitude 5420 Laptop,14 Inches,Black,128 GB,Core i5,8 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $459.99 ,61,28059.39,295
Dell,Vostro 3510 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,," $1,199.00 ",35,41965,485
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Intel Arc A370M,,,, $639.99 ,32,20479.68,216
Dell,Alienware m18 Laptop,18 Inches,Black,2000 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4050,,,, $459.99 ,48,22079.52,363
Dell,XPS 9320 Laptop,13.4 Inches,Gray,512 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,," $1,699.00 ",40,67960,349
Dell,Inspiron 5630 Laptop,16 Inches,"Gray, Platinum Silver",512 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,," $1,556.10 ",56,87141.6,541
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $459.99 ,50,22999.5,301
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7, $389.99 ,32,12479.68,436
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $299.00 ,49,14651,304
HP,15-DY100,15.6 Inches,Natural Silver,512 GB,Core i3-1005G1,8 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,, $639.99 ,58,37119.42,250
Dell,Latitude 3520 Laptop,15.6 Inches,Black,1000 GB,Core i5,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,699.00 ",27,45873,375
Dell,Latitude 3520 Laptop,15.6 Inches,Black,1000 GB,Core i5,64 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $992.10 ,41,40676.1,321
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,8 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $359.00 ,17,6103,246
Dell,Latitude 3520 Laptop,15.6 Inches,Black,1000 GB,Core i7,32 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $1,043.99 ",12,12527.88,458
HP,15-DW300,15.6 Inches,Natural Silver,1 TB,Core i5 Family,32 GB,Windows 11 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,, $389.99 ,22,8579.78,486
Dell,Latitude 3520 Laptop,15.6 Inches,Black,128 GB,Core i7,8 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $1,599.00 ",16,25584,161
Dell,Latitude 3520 Laptop,15.6 Inches,,1000 GB,Core i5,,Windows 10 Home,,,,,, $216.49 ,62,13422.38,499
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $639.99 ,16,10239.84,170
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $240.74 ,35,8425.9,175
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $936.93 ,54,50594.22,276
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $4,119.00 ",16,65904,105
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $459.99 ,20,9199.8,161
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $155.00 ,61,9455,457
Lenovo,ThinkBook 13s G4 IAP,13.3 Inches,Arctic Grey,2 TB,Core i7 Family,16 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Backlit Keyboard",Integrated,,,, $999.99 ,45,44999.55,338
Dell,Alienware m18 Laptop,18 Inches,Dark Metallic Moon,2000 GB,Core i9,32 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,," $1,518.88 ",39,59236.32,183
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $886.99 ,53,47010.47,418
Dell,Alienware m18 Laptop,18 Inches,Black,512 GB,Core i9,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,," $2,299.00 ",63,144837,145
Dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Core i7,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $3,196.99 ",19,60742.81,391
Dell,Latitude 5520 Laptop,15.6 Inches,Black,4000 GB,Core i7,64 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $2,119.00 ",58,122902,410
Dell,Latitude 5420 Laptop,14 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $729.99 ,39,28469.61,280
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,500 GB,Core i5,64 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $2,465.99 ",23,56717.77,242
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $999.99 ,55,54999.45,221
Dell,Latitude 3520 Laptop,15.6 Inches,Black,4000 GB,Core i7,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $899.99 ,22,19799.78,417
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,," $1,499.95 ",13,19499.35,235
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,699.00 ",53,90047,516
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7, $795.00 ,45,35775,482
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,714.99 ",31,53164.69,292
Dell,Inspiron 14,14 Inches,Platinum Silver,2 TB,Core i5 Family,64 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,," $1,757.99 ",32,56255.68,275
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,599.95 ",41,65597.95,164
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,2000 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,, $813.99 ,31,25233.69,428
Dell,Latitude 5520 Laptop,15.6 Inches,Black,8000 GB,Core i7,64 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $589.99 ,33,19469.67,296
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i9,64 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,, $459.99 ,37,17019.63,450
Dell,Precision 7770 Laptop,17.3 Inches,Silver,512 GB,Core i7,32 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia RTX A3000,,,," $2,440.56 ",28,68335.68,366
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,2000 GB,Core i7,32 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,, $999.99 ,22,21999.78,349
Dell,Latitude 5320 Laptop,13.3 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $1,041.99 ",61,63561.39,299
Dell,Latitude 5320 2-in-1,13.3 Inches,Black,512 GB,Core i7,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,199.00 ",51,61149,509
Dell,Vostro 3510 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $2,109.99 ",18,37979.82,102
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $589.99 ,53,31269.47,495
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $540.00 ,60,32400,277
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,049.00 ",23,24127,171
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $503.58 ,12,6042.96,152
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $3,599.00 ",22,79178,249
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,299.99 ",30,38999.7,180
Dell,Latitude 3520 Laptop,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $639.99 ,34,21759.66,341
Dell,Inspiron 3501 Laptop,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $2,445.99 ",42,102731.58,195
Dell,Vostro 3510 Laptop,15.6 Inches,Black,1000 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $1,699.00 ",30,50970,197
Dell,Latitude 5420 Laptop,14 Inches,Black,256 GB,Core i7,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $639.99 ,30,19199.7,375
Dell,Alienware x14 R2 Laptop,14 Inches,Silver,1000 GB,Core i7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,, $730.99 ,52,38011.48,518
Dell,Inspiron 7420 2-in-1,14 Inches,"Grey, Gray, Platinum Silver",128 GB,Core i7,4 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,, $740.60 ,17,12590.2,449
Dell,Alienware m18 Ryzen Edition Laptop,18 Inches,Black,1000 GB,AMD Ryzen 7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,," $1,599.00 ",38,60762,334
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $4,499.00 ",60,269940,403
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $459.99 ,26,11959.74,136
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $999.99 ,43,42999.57,511
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,1000 GB,Core i5,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $459.99 ,54,24839.46,138
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,1000 GB,Core i5,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $459.99 ,18,8279.82,312
Dell,Latitude 7520 Laptop,15.6 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $389.99 ,46,17939.54,136
Dell,Latitude 7420 Laptop,14 Inches,,512 GB,Core i7,,Windows 10 Home,,,,,, $459.99 ,20,9199.8,115
Dell,Latitude 3520 Laptop,15.6 Inches,Black,4000 GB,Core i5,32 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $2,249.99 ",22,49499.78,288
Dell,Latitude 5420 Laptop,14 Inches,Black,512 GB,Core i7,32 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,374.98 ",39,53624.22,183
Dell,Alienware m15 Ryzen Edition R7 Laptop,15.6 Inches,Dark Side of the Moon,1000 GB,AMD Ryzen 7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3070 Ti,,,, $379.00 ,24,9096,379
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,," $1,699.00 ",45,76455,301
Dell,Latitude 5330 2-in-1,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,, $337.96 ,17,5745.32,312
Dell,Latitude 7430 2-in-1,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,," $1,699.00 ",44,74756,481
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $986.99 ,43,42440.57,511
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7," $2,270.21 ",44,99889.24,239
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $459.99 ,19,8739.81,476
Dell,Latitude 3520 Laptop,15.6 Inches,Black,2000 GB,Core i5,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $389.99 ,21,8189.79,406
Dell,Latitude 7520 Laptop,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,481.86 ",37,54828.82,269
Dell,Latitude 5320 Laptop,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,, $449.99 ,56,25199.44,462
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,16 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,," $1,399.00 ",29,40571,196
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $289.00 ,16,4624,291
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $269.00 ,42,11298,429
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $247.49 ,37,9157.13,226
Dell,Latitude 5440 Laptop,14 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,," $1,799.00 ",38,68362,496
HP,15-DY200,15.6 Inches,Natural Silver,1 TB,Core i5 Family,32 GB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,, $589.99 ,56,33039.44,431
Dell,Vostro 3530 Laptop,15.6 Inches,Black,1000 GB,Core i5,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,, $639.99 ,35,22399.65,469
Dell,Alienware x14 R2 Laptop,14 Inches,Silver,1000 GB,Core i7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,," $3,229.22 ",23,74272.06,438
Dell,Precision 7680 Laptop,16 Inches,Silver,2000 GB,Core i7,64 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A1000,,,, $420.00 ,60,25200,493
Dell,Latitude 7430 Laptop,14 Inches,Black,256 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,," $1,999.00 ",23,45977,233
Dell,Alienware m16 Ryzen Edition Laptop,16 Inches,Silver,512 GB,AMD Ryzen 7,16 GB,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,, $764.99 ,17,13004.83,282
Lenovo,IdeaPad Slim 9 82D2,14 Inches,Shadow Black,2 TB,Core i7 Family,16 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Backlit Keyboard",Integrated,,,, $888.99 ,63,56006.37,559
Lenovo,ThinkPad X13 Gen 2 AMD,13.3 Inches,,512 GB,AMD Ryzen 7,16 GB,Windows 11 Pro,Backlit Keyboard,"Integrated, Dedicated",AMD Radeon R7,,," $1,699.00 ",37,62863,168
